                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.05985,                0.58333,                      1,                 1.1509,             0.00041241,             0.00041241,             0.00041241
                     67,                0.08036,                   0.65,                      1,                 1.0711,             0.00040769,             0.00040769,             0.00040769
                     68,                 0.1064,                0.63333,                      1,                 1.1138,             0.00040298,             0.00040298,             0.00040298
                     69,                0.05407,                0.70833,                      1,                 1.0353,             0.00039827,             0.00039827,             0.00039827
                     70,                0.06331,                0.53333,                      1,                 1.1792,             0.00039356,             0.00039356,             0.00039356
                     71,                0.02127,                    0.6,                      1,                 1.1503,             0.00038884,             0.00038884,             0.00038884
                     72,                0.03078,                0.54167,                      1,                  1.189,             0.00038413,             0.00038413,             0.00038413
                     73,                0.02424,                0.60833,                      1,                  1.135,             0.00037942,             0.00037942,             0.00037942
                     74,                0.02643,                0.56667,                      1,                 1.1596,             0.00037471,             0.00037471,             0.00037471
                     75,                0.04554,                0.60833,                      1,                 1.1287,             0.00036999,             0.00036999,             0.00036999
                     76,                0.05455,                0.51667,                      1,                   1.22,             0.00036528,             0.00036528,             0.00036528
                     77,                0.03685,                    0.6,                      1,                 1.1423,             0.00036057,             0.00036057,             0.00036057
                     78,                0.04148,                0.59167,                      1,                 1.1366,             0.00035586,             0.00035586,             0.00035586
                     79,                0.06363,                0.56667,                      1,                 1.1698,             0.00035115,             0.00035115,             0.00035115
                     80,                 0.0357,                   0.65,                      1,                 1.0887,             0.00034643,             0.00034643,             0.00034643
                     81,                0.08832,                0.75833,                      1,                 1.0284,             0.00034172,             0.00034172,             0.00034172
                     82,                0.05173,                0.71667,                      1,                 1.0581,             0.00033701,             0.00033701,             0.00033701
                     83,                0.03513,                0.58333,                      1,                 1.1388,              0.0003323,              0.0003323,              0.0003323
                     84,                0.03189,                0.55833,                      1,                 1.1361,             0.00032758,             0.00032758,             0.00032758
                     85,                0.04444,                0.55833,                      1,                 1.1772,             0.00032287,             0.00032287,             0.00032287
                     86,                0.02444,                0.64167,                      1,                 1.1267,             0.00031816,             0.00031816,             0.00031816
                     87,                0.03956,                0.61667,                      1,                 1.1103,             0.00031345,             0.00031345,             0.00031345
                     88,                0.03889,                0.51667,                      1,                 1.1836,             0.00030873,             0.00030873,             0.00030873
                     89,                 0.0319,                   0.55,                      1,                 1.1624,             0.00030402,             0.00030402,             0.00030402
                     90,                0.02423,                    0.6,                      1,                 1.1382,             0.00029931,             0.00029931,             0.00029931
                     91,                0.05073,                0.58333,                      1,                 1.1577,              0.0002946,              0.0002946,              0.0002946
                     92,                0.02831,                0.65833,                      1,                 1.0873,             0.00028988,             0.00028988,             0.00028988
                     93,                0.02186,                0.64167,                      1,                 1.0927,             0.00028517,             0.00028517,             0.00028517
                     94,                0.01452,                0.55833,                      1,                 1.1463,             0.00028046,             0.00028046,             0.00028046
                     95,                0.03116,                   0.65,                      1,                 1.0884,             0.00027575,             0.00027575,             0.00027575
                     96,                  0.058,                0.64167,                      1,                 1.0749,             0.00027103,             0.00027103,             0.00027103
                     97,                0.04424,                0.68333,                      1,                 1.0761,             0.00026632,             0.00026632,             0.00026632
                     98,                0.03609,                0.63333,                      1,                 1.0942,             0.00026161,             0.00026161,             0.00026161
                     99,                0.02007,                0.68333,                      1,                 1.0512,              0.0002569,              0.0002569,              0.0002569
                    100,                0.02478,                0.70833,                      1,                 1.0485,             0.00025218,             0.00025218,             0.00025218
                    101,                0.03946,                0.61667,                      1,                 1.0848,             0.00024747,             0.00024747,             0.00024747
                    102,                 0.0127,                0.59167,                      1,                 1.1301,             0.00024276,             0.00024276,             0.00024276
                    103,                0.01044,                0.60833,                      1,                 1.1193,             0.00023805,             0.00023805,             0.00023805
                    104,                0.01346,                0.61667,                      1,                 1.1249,             0.00023334,             0.00023334,             0.00023334
                    105,                0.03294,                0.63333,                      1,                 1.1109,             0.00022862,             0.00022862,             0.00022862
                    106,                0.02388,                0.68333,                      1,                 1.0671,             0.00022391,             0.00022391,             0.00022391
