                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  0.109,                    0.6,                      1,                 1.1345,             0.00053304,             0.00053304,             0.00053304
                     67,                0.10434,                    0.6,                      1,                 1.1561,             0.00053022,             0.00053022,             0.00053022
                     68,                0.10731,                   0.55,                      1,                  1.158,             0.00052739,             0.00052739,             0.00052739
                     69,                0.05509,                0.61667,                      1,                 1.1074,             0.00052456,             0.00052456,             0.00052456
                     70,                0.18342,                  0.475,                      1,                 1.2226,             0.00052173,             0.00052173,             0.00052173
                     71,                0.12492,                  0.525,                      1,                   1.21,             0.00051891,             0.00051891,             0.00051891
                     72,                0.08377,                0.49167,                      1,                 1.2483,             0.00051608,             0.00051608,             0.00051608
                     73,                0.07265,                  0.525,                      1,                 1.1898,             0.00051325,             0.00051325,             0.00051325
                     74,                0.09128,                0.49167,                      1,                 1.2346,             0.00051042,             0.00051042,             0.00051042
                     75,                0.07989,                0.46667,                      1,                 1.2654,              0.0005076,              0.0005076,              0.0005076
                     76,                0.13793,                0.49167,                      1,                 1.2572,             0.00050477,             0.00050477,             0.00050477
                     77,                0.05924,                    0.5,                      1,                 1.1952,             0.00050194,             0.00050194,             0.00050194
                     78,                0.07482,                0.49167,                      1,                 1.2422,             0.00049911,             0.00049911,             0.00049911
                     79,                0.09978,                0.49167,                      1,                 1.1901,             0.00049629,             0.00049629,             0.00049629
                     80,                0.11274,                0.48333,                      1,                 1.2449,             0.00049346,             0.00049346,             0.00049346
                     81,                 0.0738,                0.49167,                      1,                 1.2413,             0.00049063,             0.00049063,             0.00049063
                     82,                 0.0678,                0.50833,                      1,                 1.2335,              0.0004878,              0.0004878,              0.0004878
                     83,                0.05047,                0.56667,                      1,                 1.1896,             0.00048498,             0.00048498,             0.00048498
                     84,                0.06096,                0.54167,                      1,                 1.1958,             0.00048215,             0.00048215,             0.00048215
                     85,                0.06964,                0.50833,                      1,                 1.2173,             0.00047932,             0.00047932,             0.00047932
                     86,                 0.0818,                0.58333,                      1,                 1.1487,              0.0004765,              0.0004765,              0.0004765
                     87,                0.03662,                0.60833,                      1,                 1.1146,             0.00047367,             0.00047367,             0.00047367
                     88,                0.07339,                0.63333,                      1,                 1.0998,             0.00047084,             0.00047084,             0.00047084
                     89,                0.08885,                    0.5,                      1,                 1.2237,             0.00046801,             0.00046801,             0.00046801
                     90,                0.05838,                   0.55,                      1,                 1.1642,             0.00046519,             0.00046519,             0.00046519
                     91,                0.06894,                0.56667,                      1,                 1.1809,             0.00046236,             0.00046236,             0.00046236
                     92,                0.09114,                  0.625,                      1,                 1.1152,             0.00045953,             0.00045953,             0.00045953
                     93,                0.11617,                0.61667,                      1,                 1.1111,              0.0004567,              0.0004567,              0.0004567
                     94,                0.05049,                  0.575,                      1,                 1.1311,             0.00045388,             0.00045388,             0.00045388
                     95,                0.07938,                    0.6,                      1,                 1.1481,             0.00045105,             0.00045105,             0.00045105
                     96,                0.12171,                0.54167,                      1,                 1.1613,             0.00044822,             0.00044822,             0.00044822
